organ,germ_layer,cell_type,rank_in_celltype,gene_symbol,canonical_marker,sensitivity_human,specificity_human,ubiquitousness_index,marker_score,gene_aliases,product_description,source
Pancreas,Endoderm,Acinar cells,1,CTRB1,Y,1.0,0.000628931,0.017,0.9994,CTRB,chymotrypsinogen B1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,2,PRSS1,Y,1.0,0.00597484,0.002,0.994,TRY1,serine protease 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,3,PRSS2,Y,1.0,0.0103774,0.01,0.9896,TRY2,serine protease 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,4,REG1A,Y,1.0,0.0273585,0.005,0.9726,PSPS; PSPS1; REG,regenerating family member 1 alpha,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,5,SPINK1,Y,1.0,0.0352201,0.029,0.9648,Spink3; PCTT; PSTI; TATI,"serine peptidase inhibitor, Kazal type 1","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,6,AKR1C3,Y,1.0,0.0389937,0.007,0.961,KIAA0119; DDX; HAKRB; PGFS; HSD17B5,aldo-keto reductase family 1 member C3,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,7,PDZK1IP1,Y,1.0,0.0396226,0.025,0.9604,DD96; MAP17; SPAP,PDZK1 interacting protein 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,8,RARRES2,Y,1.0,0.0751572,0.03,0.9248,TIG2; HP10433,retinoic acid receptor responder 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,9,C15ORF48,Y,1.0,0.109119,0.018,0.8909,NMES1; MIR147BHG,chromosome 15 open reading frame 48,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,10,CPA2,Y,0.916667,0.0,0.004,0.9167,,carboxypeptidase A2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,11,CTRB2,Y,0.916667,0.00125786,0.001,0.9155,,chymotrypsinogen B2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,12,GSTA2,Y,0.916667,0.00628931,0.007,0.9109,GST2,glutathione S-transferase alpha 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,13,REG3A,Y,0.916667,0.0106918,0.005,0.9069,REG-III; REG3; PBCGF,regenerating family member 3 alpha,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,14,REG1B,Y,0.916667,0.0110063,0.002,0.9066,PSPS2; REGH; REGI-BETA,regenerating family member 1 beta,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,15,GSTA1,Y,0.916667,0.0267296,0.012,0.8922,,glutathione S-transferase alpha 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,16,MUC1,Y,0.916667,0.0295597,0.016,0.8896,CD227; PEM; ADMCKD; ADMCKD1; MCKD; MCKD1,"mucin 1, cell surface associated","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,17,LGALS2,Y,0.916667,0.0345912,0.032,0.885,HL14,galectin 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,18,CELA3A,Y,0.833333,0.0,0.001,0.8333,ELA3; ELA3A,chymotrypsin like elastase family member 3A,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,19,CPA1,Y,0.833333,0.0,0.006,0.8333,CPA,carboxypeptidase A1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,20,CTRC,Y,0.833333,0.0,0.003,0.8333,CLCR; ELA4,chymotrypsin C,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,21,PNLIP,Y,0.833333,0.000314465,0.005,0.8331,,pancreatic lipase,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,22,PLA2G1B,Y,0.833333,0.00157233,0.007,0.832,PLA2; PPLA2; PLA2A,phospholipase A2 group IB,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,23,SYCN,Y,0.833333,0.00157233,0.008,0.832,SYL; FLJ27441; INSSA1,syncollin,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,24,KLK1,Y,0.833333,0.00503145,0.013,0.8291,Klk6,kallikrein 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,25,CPB1,Y,0.833333,0.00786164,0.005,0.8268,,carboxypeptidase B1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,26,PRSS3,Y,0.833333,0.0289308,0.006,0.8092,TRY4; PRSS4,serine protease 3,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,27,GDF15,Y,0.833333,0.054088,0.014,0.7883,PLAB; MIC-1; PDF; NAG-1; PTGFB,growth differentiation factor 15,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,28,CELA3B,Y,0.75,0.00125786,0.007,0.7491,CBPP; ELA3B,chymotrypsin like elastase family member 3B,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,29,ANPEP,Y,0.75,0.0100629,0.015,0.7425,gp150; CD13; PEPN,"alanyl aminopeptidase, membrane","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,30,CXCL17,Y,0.75,0.0248428,0.007,0.7314,Dcip1; UNQ473; VCC1,C-X-C motif chemokine ligand 17,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,31,RNASE1,Y,0.75,0.0877358,0.022,0.6842,RAC1; RNS1,"ribonuclease A family member 1, pancreatic","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,32,CLPS,Y,0.583333,0.000314465,0.021,0.5831,,colipase,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,33,ALDOB,Y,0.583333,0.00408805,0.031,0.5809,,"aldolase, fructose-bisphosphate B","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,34,OLFM4,Y,0.583333,0.0132075,0.013,0.5756,OlfD; GW112,olfactomedin 4,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,35,PNLIPRP1,Y,0.5,0.0,0.008,0.5,PLRP1,pancreatic lipase related protein 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,36,CELA2A,Y,0.333333,0.0,0.005,0.3333,ELA2A,chymotrypsin like elastase family member 2A,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,37,CEL,Y,0.166667,0.0,0.002,0.1667,BSSL; MODY8,carboxyl ester lipase,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,38,ANGPTL4,Y,0.166667,0.0295597,0.031,0.1617,pp1158; PGAR; ARP4; HFARP; FIAF,angiopoietin like 4,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,39,AMY2B,Y,0.0833333,0.0,0.003,0.0833,,"amylase, alpha 2B (pancreatic)","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,40,RBPJL,Y,0.0,0.0,0.001,0.0,RBP-L; SUHL; RBPSUHL,recombination signal binding protein for immunoglobulin kappa J region like,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,41,CELA1,Y,0.0,0.0,0.017,0.0,ELA1,chymotrypsin like elastase family member 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,42,CFB,Y,0.0,0.0,0.001,0.0,H2-Bf; BFD; BF,complement factor B,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,43,DUOXA2,Y,0.0,0.0,0.0,0.0,,dual oxidase maturation factor 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,44,SERPINA3,Y,0.0,0.000314465,0.0,0.0,AACT,serpin family A member 3,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,45,PTF1A,Y,0.0,0.000628931,0.001,0.0,PTF1-p48; bHLHa29,pancreas associated transcription factor 1a,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,46,ZG16,Y,0.0,0.0144654,0.013,0.0,hZG16; JCLN1; ZG16A; JCLN,zymogen granule protein 16,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,47,LYZ,Y,0.0,0.0408805,0.008,0.0,,lysozyme,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,48,UBD,Y,,,0.0,0.0,FAT10,ubiquitin D,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,1,FGF10,Y,0.0,0.000626566,0.001,0.0,,fibroblast growth factor 10,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,2,EBF2,Y,0.0,0.00125313,0.006,0.0,FLJ11500; COE2,early B cell factor 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,3,NRG4,Y,0.0,0.00156642,0.001,0.0,,neuregulin 4,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,4,HOXC8,Y,0.0,0.00313283,0.005,0.0,HOX3A,homeobox C8,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,5,TCF7L1,Y,0.0,0.00845865,0.009,0.0,TCF3,transcription factor 7 like 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,6,SCARA5,Y,0.0,0.0115915,0.007,0.0,FLJ23907; MGC45780; NET33,scavenger receptor class A member 5,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,7,HOXC9,Y,0.0,0.0159774,0.007,0.0,HOX3B,homeobox C9,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,8,WT1,Y,0.0,0.0225564,0.01,0.0,WIT-2; AWT1; NPHS4; GUD,Wilms tumor 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,9,CEBPA,N,0.0,0.0,0.025,0.0,C/EBP-alpha; CEBP,CCAAT enhancer binding protein alpha,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,10,GSC,N,0.0,0.0,0.001,0.0,,goosecoid homeobox,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,11,GLI1,N,0.0,0.0,0.0,0.0,GLI,GLI family zinc finger 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,12,SMO,N,0.0,0.0,0.005,0.0,FZD11; SMOH,"smoothened, frizzled class receptor","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,13,HOXC4,N,0.0,0.0,0.002,0.0,HOX3E,homeobox C4,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,14,MMP3,N,0.0,0.00219298,0.003,0.0,STMY1; STMY,matrix metallopeptidase 3,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,15,STAB1,N,0.0,0.00250627,0.018,0.0,KIAA0246; STAB-1; FEEL-1; CLEVER-1; FELE-1; FEX1; SCARH2,stabilin 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,16,HOXC6,N,0.0,0.00595238,0.004,0.0,HOX3C,homeobox C6,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,17,SULT1E1,N,0.0,0.00595238,0.002,0.0,STE,sulfotransferase family 1E member 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,18,WISP2,N,0.0,0.00657895,0.005,0.0,CTGF-L; CCN5,WNT1 inducible signaling pathway protein 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,19,TWIST2,N,0.0,0.00689223,0.012,0.0,DERMO1; Dermo-1; bHLHa39,twist family bHLH transcription factor 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,20,ZNF521,N,0.0,0.0103383,0.002,0.0,EHZF; Evi3,zinc finger protein 521,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,21,PPARG,N,0.0,0.0109649,0.006,0.0,PPARG1; PPARG2; NR1C3; PPARgamma,peroxisome proliferator activated receptor gamma,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,22,GATA3,N,0.0,0.0200501,0.03,0.0,HDR,GATA binding protein 3,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,23,EGFR,N,0.0,0.0222431,0.014,0.0,ERBB1; ERBB,epidermal growth factor receptor,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,1,METRNL,Y,1.0,0.0147567,0.037,0.9852,,"meteorin like, glial cell differentiation regulator","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,2,MYO1C,Y,1.0,0.033595,0.026,0.9664,myr2,myosin IC,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,3,METRN,Y,1.0,0.0533752,0.015,0.9466,MGC2601; C16orf23,"meteorin, glial cell differentiation regulator","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,4,MMP2,Y,1.0,0.0656201,0.045,0.9344,TBE-1; CLG4; CLG4A,matrix metallopeptidase 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,5,NQO1,Y,1.0,0.0728414,0.024,0.9272,DHQU; QR1; NMOR1; DIA4,NAD(P)H quinone dehydrogenase 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,6,COL6A2,Y,1.0,0.101413,0.056,0.8986,,collagen type VI alpha 2 chain,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,7,CAVIN1,Y,1.0,0.129356,0.023,0.8706,cavin-1; CGL4; PTRF,caveolae associated protein 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,8,MT2A,Y,1.0,0.326217,0.061,0.6738,MT2,metallothionein 2A,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,9,TSPO,Y,1.0,0.340345,0.283,0.6597,PBR; MBR; PKBS; mDRC; DBI; pk18; BZRP,translocator protein,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,10,TFE3,Y,0.714286,0.00345369,0.005,0.7118,TFEA; bHLHe33,transcription factor binding to IGHM enhancer 3,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,11,STAT6,Y,0.714286,0.00659341,0.01,0.7096,D12S1644; IL-4-STAT,signal transducer and activator of transcription 6,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,12,HOXC9,Y,0.714286,0.0144427,0.007,0.704,HOX3B,homeobox C9,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,13,LRP1,Y,0.714286,0.0339089,0.071,0.6901,CD91; LRP1A; APOER; A2MR; IGFBP3R1,LDL receptor related protein 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,14,CPPED1,Y,0.428571,0.010989,0.008,0.4239,CSTP1; FLJ11151,calcineurin like phosphoesterase domain containing 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,15,LOX,Y,0.285714,0.0144427,0.017,0.2816,,lysyl oxidase,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,16,POSTN,Y,0.285714,0.022606,0.033,0.2793,OSF-2; PN; periostin,periostin,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,17,ADM2,Y,0.142857,0.0,0.0,0.1429,AM2; FLJ21135,adrenomedullin 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,18,AOC3,Y,0.142857,0.00251177,0.004,0.1425,VAP1; HPAO; VAP-1,"amine oxidase, copper containing 3","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,19,ADAMTS5,Y,0.142857,0.0141287,0.016,0.1408,ADMP-2; ADAMTS11,ADAM metallopeptidase with thrombospondin type 1 motif 5,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,20,SERPINF1,Y,0.142857,0.105808,0.057,0.1277,EPC-1; PIG35; PEDF,serpin family F member 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,21,SLC36A2,Y,0.0,0.0,0.003,0.0,PAT2; tramdorin; TRAMD1,solute carrier family 36 member 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,22,LEP,Y,0.0,0.0,0.0,0.0,OBS,leptin,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,23,UCP1,Y,0.0,0.0,0.0,0.0,SLC25A7; UCP,uncoupling protein 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,24,CIDEA,Y,0.0,0.0,0.004,0.0,CIDE-A,cell death-inducing DFFA-like effector a,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,25,LHX8,Y,0.0,0.0,0.001,0.0,Lhx7,LIM homeobox 8,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,26,MC2R,Y,0.0,0.0,0.0,0.0,ACTHR,melanocortin 2 receptor,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,27,FFAR2,Y,0.0,0.0,0.01,0.0,FFA2R; GPR43,free fatty acid receptor 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,28,CYP11B2,Y,0.0,0.0,0.0,0.0,CYP11BL; P-450C18; P450aldo; ALDOS,cytochrome P450 family 11 subfamily B member 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,29,ADRB3,Y,0.0,0.0,0.0,0.0,,adrenoceptor beta 3,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,30,TMEM26,Y,0.0,0.0,0.002,0.0,MGC35010; Em:AC068892.1,transmembrane protein 26,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,31,ADIPOQ,Y,0.0,0.0,0.004,0.0,ACRP30; AdipoQ; apM1; GBP28; adiponectin; ACDC,"adiponectin, C1Q and collagen domain containing","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,32,PLIN1,Y,0.0,0.0,0.0,0.0,PLIN,perilipin 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,33,CIDEC,Y,0.0,0.0,0.002,0.0,CIDE-3; FLJ20871; Fsp27,cell death inducing DFFA like effector c,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,34,LGALS12,Y,0.0,0.0,0.0,0.0,,galectin 12,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,35,ELOVL3,Y,0.0,0.0,0.001,0.0,CIG-30,ELOVL fatty acid elongase 3,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,36,TLR4,Y,0.0,0.000313972,0.0,0.0,hToll; CD284; TLR-4; ARMD10,toll like receptor 4,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,37,GDF10,Y,0.0,0.000313972,0.005,0.0,BMP-3b,growth differentiation factor 10,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,38,FMO1,Y,0.0,0.000313972,0.012,0.0,,flavin containing monooxygenase 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,39,FZD4,Y,0.0,0.000627943,0.007,0.0,CD344,frizzled class receptor 4,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,40,TLR2,Y,0.0,0.000941915,0.014,0.0,TIL4; CD282,toll like receptor 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,41,TBX1,Y,0.0,0.000941915,0.003,0.0,VCF,T-box 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,42,PRDM16,Y,0.0,0.00125589,0.001,0.0,MEL1; PFM13; KIAA1675; MGC166915; KMT8F,PR/SET domain 16,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,43,H6PD,Y,0.0,0.00125589,0.005,0.0,,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,44,EBF2,Y,0.0,0.00125589,0.006,0.0,FLJ11500; COE2,early B cell factor 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,45,LBP,Y,0.0,0.00156986,0.017,0.0,BPIFD2,lipopolysaccharide binding protein,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,46,P2RX5,Y,0.0,0.00188383,0.0,0.0,P2X5,purinergic receptor P2X 5,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,47,AR,Y,0.0,0.00188383,0.013,0.0,AIS; NR3C4; SMAX1; HUMARA; DHTR; SBMA,androgen receptor,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,48,ACADSB,Y,0.0,0.00188383,0.01,0.0,SBCAD; ACAD7,acyl-CoA dehydrogenase short/branched chain,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,49,ADRB1,Y,0.0,0.0021978,0.002,0.0,ADRB1R,adrenoceptor beta 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,50,SLC2A4,Y,0.0,0.00251177,0.001,0.0,GLUT4,solute carrier family 2 member 4,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,51,ACVR1C,Y,0.0,0.00282575,0.002,0.0,ALK7; ACVRLK7,activin A receptor type 1C,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,52,DEPTOR,Y,0.0,0.00282575,0.012,0.0,DEP.6; FLJ12428; DEPDC6,DEP domain containing MTOR interacting protein,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,53,CCL11,Y,0.0,0.00313972,0.008,0.0,eotaxin; MGC22554; SCYA11,C-C motif chemokine ligand 11,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,54,PIKFYVE,Y,0.0,0.00345369,0.003,0.0,MGC40423; KIAA0981; PIKfyve; PIP5K; p235; ZFYVE29; FAB1; PIP5K3,"phosphoinositide kinase, FYVE-type zinc finger containing","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,55,TNFRSF9,Y,0.0,0.00345369,0.003,0.0,CD137; 4-1BB; ILA,TNF receptor superfamily member 9,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,56,PPARGC1A,Y,0.0,0.00408163,0.01,0.0,PGC1; PGC1A; PGC-1alpha; PPARGC1,PPARG coactivator 1 alpha,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocytes,57,PTGES,Y,0.0,0.0043956,0.013,0.0,MGST-IV; PIG12; MGST1-L1; TP53I12; MGST1L1,prostaglandin E synthase,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
